FeatureURI,Name,UTM_E,UTM_N,UTMDatumZone,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,LocationUncertaintyCode,LocationUncertaintyRadius,LocationKeyword,HeatApplication,Temperature,TempUnits,TempMeasurementProcedure,Flow,FlowUnits,FlowMeasurementProcedure,Capacity,CapacityUnits,CapacityProcedure,EnergyUse,EnergyUseUnits,EnergyUseProcedure,LoadFactor,FacilityContact,PostalAddress,Zip,Phone,EMailAddress,Source,MetadataURI
OR_035_CTRC_41,"Crystal Terrace
Retirement Community",600638.6172,4678476.972,10 T,42.252,-121.7800,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,184,F,unknown,,,,,,,1.8,GWh/yr,unknown,,,"1000 Town Center Dr.
Klamath Falls, OR",97601,541 885-7250,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf",
OR_035_OG_42,Olene Gap,613322.1473,4669673.86,10 T,42.171,-121.6280,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,189,F,unknown,300,gpm,unknown,0.03,MWt,unknown,0.03,GWh/yr,unknown,0.11,,"Olene, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0107.htm",
OR_045_VR_43,Vale Residences,480591.9983,4869902.177,11 T,43.982,-117.2420,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Malheur County|
Vale, OR",Space Heating,185,F,unknown,24,gpm,unknown,0.09,MWt,unknown,0.2,GWh/yr,unknown,0.27,,"Vale, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0110.htm",
OR_045_VSH_44,Vale Slaughter House,480672.1966,4869901.942,11 T,43.982,-117.2410,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Malheur County|
Vale, OR",Space Heating,150,F,unknown,20,gpm,unknown,0.09,MWt,unknown,0.2,GWh/yr,unknown,0.27,,"Vale, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0111.htm
",
OR_037_SLHS_45,"Summer Lake Hot
Springs",692564.7685,4732960.819,10 T,42.725,-120.6480,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Lake County|
Paisley, OR",Space Heating,109,F,unknown,20,gpm,unknown,0.3,MWt,unknown,0.7,GWh/yr,unknown,0.29,,"41777 Highway 31
Paisley, OR",97636,541 943-3931,relax@summerlakehotsprings.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0109.htm",
OR_035_KFR_46,"Klamath Falls
Residence (550)",600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",Space Heating,180,F,unknown,,,,12.8,MWt,unknown,28,GWh/yr,unknown,0.25,,"Klamath Falls, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0100.htm",
OR_035_KFS_47,"Klamath Falls
Schools (6)",600541.2393,4675476.994,10 T,42.225,-121.7817,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Klamath County|
Klamath Falls, OR",Space Heating,180,F,unknown,,,,2.5,MWt,unknown,5.8,GWh/yr,unknown,0.26,,"Klamath Falls, OR",97601,541 883-5366,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0101.htm",
OR_035_HHS_48,Henley High School,607904.6749,4667367.583,10 T,42.151,-121.6940,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,127,F,unknown,400,gpm,unknown,0.9,MWt,unknown,1.9,GWh/yr,unknown,0.25,,"8245 Oregon 39
Klamath Falls, OR",97603,541 883-5040,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0092.htm",
OR_035_HN_49,Herald and News,602660.5657,4675618.674,10 T,42.226,-121.7560,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,>212,F,unknown,,,unknown,,,,0.9,GWh/yr,unknown,,,"P.O. Box 788
2701 Foothills Blvd.
Klamath Falls, OR","97601 (PO)
97603",541 885-4410,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf",
OR_047_BHS_50,"Breitenbush Hot
Springs",581013.7571,4959133.002,10 T,44.781,-121.9760,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,Marion County,Space Heating,212,F,unknown,900,gpm,unknown,0.4,MWt,unknown,1.1,GWh/yr,unknown,0.37,,"P.O. Box 
Detroit, OR 97342",97342,"503 854-3314
503 854-3320",office@breitenbush.com,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0091.htm",
OR_061_HLRV_51,Hot Lake RV Park,423875.7005,5010625.255,11 T,45.245,-117.9700,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Union County|
La Grande, OR",Space Heating,190,F,unknown,830,gpm,unknown,0.3,MWt,unknown,0.5,GWh/yr,unknown,0.23,,"65182 Hot Lake Lane
La Grande, OR",97850,541 963-5253,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0093.htm",
OR_029_JHS_52,"Jackson Hot
Springs",520020.489,5007532.892,10 T,45.221,-122.7450,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Jackson County|
Ashland, OR",Space Heating,111,F,unknown,264,gpm,unknown,0.2,MWt,unknown,1.3,GWh/yr,unknown,0.72,,"2253 Hwy 99 North Ashland, OR",97520,541 482-3776,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0095.htm",
OR_061_MHS_53,"Medical Hot
Springs",450439.8394,4985031.465,11 T,45.017,-117.6290,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Union County|
Medical Springs, OR",Space Heating,140,F,unknown,100,gpm,unknown,0.2,MWt,unknown,0.3,GWh/yr,unknown,0.25,,"Medical Springs, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0105.htm",
OR_061_RHS_54,"Radium Hot
Springs",425823.4537,4975604.336,11 T,44.930,-117.9400,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Union County|
Haines, OR",Space Heating,136,F,unknown,300,gpm,unknown,0.2,MWt,unknown,1.1,GWh/yr,unknown,0.68,,"Haines, OR",,,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0108.htm",
OR_035_YMCA_55,YMCA,603084.583,4674847.46,10 T,42.219,-121.7510,EPSG:4326,lat/long from USGS Quadrangle/National Map Accuracy Standard,1,80,"Klamath County|
Klamath Falls, OR",Space Heating,147,F,unknown,120,gpm,unknown,0.4,MWt,unknown,0.9,GWh/yr,unknown,0.25,,"1221 South Alameda
Klamath Falls, OR",97603,541 884-4149,,"Geo-Heat Center, 2011. ""The Economic, Environmental and Social Benefits of Geothermal Use in Oregon"", Geo-Heat Center Quarterly Bulletin, Vol. 30, No. 3.
http://geoheat.oit.edu/pdf/StateReport/Oregon.pdf
http://geoheat.oit.edu/directuse/all/dus0112.htm",
OR_045_OTM_56,Oregon Trail Mushrooms,480912.7918,4869901.243,11 T,43.982,-117.238,EPSG:4326,"General City location 
lat/long from USGS Quadrangle/
National Map Accuracy Standard",1,80,"Malheur County|
Vale, OR",Industrial Use,235,F,unknown,275,gpm,unknown,6,MWt,unknown,15.9,GWh/yr,unknown,0.3,,"Rt. 3, Box 4397
Vale, OR",97918,541 473-3103,,"http://geoheat.oit.edu/directuse/all/dui0194.htm
Culver, G., 2004. ""Oregon Trail Mushrooms"", Geo-Heat Center Quarterly Bulletin, Vol. 25, No. 1.
http://geoheat.oit.edu/bulletin/bull25-1/art5.pdf",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
